rank,signal,rule_id,severity,impact,score_contribution,title,file,start_line,duplicate_count,next_step
1,pattern_fragmentation,pattern_fragmentation,high,0.6988,0.1576,error_handling: 22 variants in scripts/,scripts,,1,Consolidate 22 pattern variants in scripts
2,pattern_fragmentation,pattern_fragmentation,high,0.6932,0.1576,error_handling: 18 variants in src/drift/signals/,src/drift/signals,,1,Consolidate 18 pattern variants in src/drift/signals
3,pattern_fragmentation,pattern_fragmentation,high,0.6813,0.1576,error_handling: 18 variants in src/drift/,src/drift,,1,Consolidate 18 pattern variants in src/drift
4,pattern_fragmentation,pattern_fragmentation,high,0.4927,0.1576,error_handling: 8 variants in src/drift/ingestion/,src/drift/ingestion,,1,Consolidate 8 pattern variants in src/drift/ingestion
5,pattern_fragmentation,pattern_fragmentation,high,0.4927,0.1576,error_handling: 6 variants in tests/,tests,,1,Consolidate 6 pattern variants in tests
6,pattern_fragmentation,pattern_fragmentation,medium,0.2239,0.1051,error_handling: 3 variants in src/drift/commands/,src/drift/commands,,1,Consolidate 3 pattern variants in src/drift/commands
7,pattern_fragmentation,pattern_fragmentation,medium,0.1985,0.082,error_handling: 2 variants in src/drift/analyzers/typescript/,src/drift/analyzers/typescript,,1,Consolidate 2 pattern variants in src/drift/analyzers/typescript
8,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _run_signals_on_fixture,scripts/copilot_context_benchmark.py,89,1,Merge '_run_signals_on_fixture' and '_run_signals_on_fixture' (across scripts/copilot_context_benchmark.py and tests/test_copilot_context_coverage.py)
9,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _finding_dedupe_key,src/drift/output/csv_output.py,44,1,Merge '_finding_dedupe_key' and '_finding_dedupe_key' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
10,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _dedupe_findings,src/drift/output/csv_output.py,54,1,Merge '_dedupe_findings' and '_dedupe_findings' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
11,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _priority_class,src/drift/output/csv_output.py,73,1,Merge '_priority_class' and '_priority_class' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
12,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _priority_rank,src/drift/output/csv_output.py,82,1,Merge '_priority_rank' and '_priority_rank' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
13,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _next_step_for_finding,src/drift/output/csv_output.py,90,1,Merge '_next_step_for_finding' and '_next_step_for_finding' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
14,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _expected_benefit_for_finding,src/drift/output/csv_output.py,97,1,Merge '_expected_benefit_for_finding' and '_expected_benefit_for_finding' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
15,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _fix_first_list,src/drift/output/csv_output.py,108,1,Merge '_fix_first_list' and '_fix_first_list' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
16,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _finding_sort_key,src/drift/output/csv_output.py,144,1,Merge '_finding_sort_key' and '_finding_sort_key' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
17,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _finding_to_dict,src/drift/output/csv_output.py,155,1,Merge '_finding_to_dict' and '_finding_to_dict' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
18,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _module_to_dict,src/drift/output/csv_output.py,186,1,Merge '_module_to_dict' and '_module_to_dict' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
19,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): findings_to_sarif,src/drift/output/csv_output.py,262,1,Merge 'findings_to_sarif' and 'findings_to_sarif' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
20,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _cfg,tests/test_bypass_accumulation.py,15,1,Merge '_cfg' and '_cfg' (across tests/test_bypass_accumulation.py and tests/test_naming_contract_violation.py)
21,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _make_finding,tests/test_recommendations.py,11,1,Merge '_make_finding' and '_make_finding' (across tests/test_recommendations.py and tests/test_recommendations_edge_cases.py)
22,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _cfg,tests/test_ts_signals_phase2.py,43,1,Merge '_cfg' and '_cfg' (across tests/test_ts_signals_phase2.py and tests/test_ts_signals_phase3.py)
23,mutant_duplicate,mutant_duplicate,high,0.1871,0.1089,Near-duplicate (100%): _run_signals_on_fixture ↔ _run_signals_on_fixture,scripts/copilot_context_benchmark.py,89,1,Merge '_run_signals_on_fixture' and '_run_signals_on_fixture' (across scripts/copilot_context_benchmark.py and tests/test_precision_recall.py)
24,mutant_duplicate,mutant_duplicate,high,0.1871,0.1089,Near-duplicate (100%): _run_signals_on_fixture ↔ _run_signals_on_fixture,tests/test_copilot_context_coverage.py,68,1,Merge '_run_signals_on_fixture' and '_run_signals_on_fixture' (across tests/test_copilot_context_coverage.py and tests/test_precision_recall.py)
25,explainability_deficit,explainability_deficit,high,0.09,0.0887,Unexplained complexity: main,scripts/ground_truth_analysis.py,215,1,Document 'main'
26,explainability_deficit,explainability_deficit,high,0.09,0.0887,Unexplained complexity: _check_detection,scripts/mutation_benchmark.py,1101,1,Document '_check_detection'
27,explainability_deficit,explainability_deficit,high,0.0675,0.0665,Unexplained complexity: compute_monthly_kpis,scripts/package_kpis.py,204,1,Document 'compute_monthly_kpis'
28,explainability_deficit,explainability_deficit,high,0.0675,0.0665,Unexplained complexity: run_benchmark,scripts/repair_benchmark.py,436,1,Document 'run_benchmark'
29,explainability_deficit,explainability_deficit,high,0.0675,0.0665,Unexplained complexity: main,scripts/sensitivity_analysis.py,172,1,Document 'main'
30,explainability_deficit,explainability_deficit,high,0.0675,0.0665,Unexplained complexity: PythonFileParser._process_function,src/drift/ingestion/ast_parser.py,362,1,Document 'PythonFileParser._process_function'
31,explainability_deficit,explainability_deficit,medium,0.054,0.0532,Unexplained complexity: main,scripts/mutation_benchmark.py,1217,1,Document 'main'
32,explainability_deficit,explainability_deficit,medium,0.0506,0.0498,Unexplained complexity: InsecureDefaultSignal._check_tree,src/drift/signals/insecure_default.py,206,1,Document 'InsecureDefaultSignal._check_tree'
33,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: run_benchmark,scripts/copilot_context_benchmark.py,212,1,Document 'run_benchmark'
34,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: classify_finding,scripts/ground_truth_analysis.py,24,1,Document 'classify_finding'
35,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: diff,src/drift/api.py,295,1,Document 'diff'
36,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: fix_plan,src/drift/api.py,735,1,Document 'fix_plan'
37,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: validate,src/drift/api.py,909,1,Document 'validate'
38,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: _format_rule,src/drift/copilot_context.py,51,1,Document '_format_rule'
39,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: _extract_functions,src/drift/ingestion/ts_parser.py,139,1,Document '_extract_functions'
40,explainability_deficit,explainability_deficit,medium,0.045,0.0443,Unexplained complexity: calibrate_weights,src/drift/scoring/engine.py,360,1,Document 'calibrate_weights'
41,explainability_deficit,explainability_deficit,low,0.0439,0.0433,Unexplained complexity: _validate_quality,scripts/repair_benchmark.py,256,1,Document '_validate_quality'
42,explainability_deficit,explainability_deficit,low,0.0439,0.0433,Unexplained complexity: _is_test_like,src/drift/signals/cohesion_deficit.py,76,1,Document '_is_test_like'
43,explainability_deficit,explainability_deficit,low,0.0427,0.0421,Unexplained complexity: _fingerprint_try_block,src/drift/ingestion/ast_parser.py,74,1,Document '_fingerprint_try_block'
44,explainability_deficit,explainability_deficit,low,0.0427,0.0421,Unexplained complexity: _extract_patterns,src/drift/ingestion/ts_parser.py,377,1,Document '_extract_patterns'
45,explainability_deficit,explainability_deficit,low,0.0427,0.0421,Unexplained complexity: auto_calibrate_weights,src/drift/scoring/engine.py,281,1,Document 'auto_calibrate_weights'
46,explainability_deficit,explainability_deficit,low,0.0405,0.0399,Unexplained complexity: main,scripts/evaluate_benchmark.py,59,1,Document 'main'
47,explainability_deficit,explainability_deficit,low,0.0405,0.0399,Unexplained complexity: _compute_f1,scripts/sensitivity_analysis.py,271,1,Document '_compute_f1'
48,explainability_deficit,explainability_deficit,low,0.0405,0.0399,Unexplained complexity: discover_files,src/drift/ingestion/file_discovery.py,73,1,Document 'discover_files'
49,explainability_deficit,explainability_deficit,low,0.0405,0.0399,Unexplained complexity: parse_git_history,src/drift/ingestion/git_history.py,222,1,Document 'parse_git_history'
50,test_polarity_deficit,test_polarity_deficit,high,0.0396,0.039,Happy-path-only test suite in tests/,tests,,1,"Add negative tests to tests/ (1017 test functions, only 18 negative assertions): use pytest.raises for expected exceptions, test edge cases (empty, None, invalid input)."
51,explainability_deficit,explainability_deficit,low,0.0382,0.0377,Unexplained complexity: _run_mds_at_threshold,scripts/ablation_mds_threshold.py,30,1,Document '_run_mds_at_threshold'
52,explainability_deficit,explainability_deficit,low,0.0382,0.0377,Unexplained complexity: _fingerprint_endpoint,src/drift/ingestion/ast_parser.py,219,1,Document '_fingerprint_endpoint'
53,explainability_deficit,explainability_deficit,low,0.0382,0.0377,Unexplained complexity: _detect_ai_attribution,src/drift/ingestion/git_history.py,147,1,Document '_detect_ai_attribution'
54,explainability_deficit,explainability_deficit,low,0.036,0.0355,Unexplained complexity: _repair_step,scripts/repair_benchmark.py,334,1,Document '_repair_step'
55,explainability_deficit,explainability_deficit,low,0.036,0.0355,Unexplained complexity: findings_to_sarif,src/drift/output/csv_output.py,262,1,Document 'findings_to_sarif'
56,explainability_deficit,explainability_deficit,low,0.036,0.0355,Unexplained complexity: findings_to_sarif,src/drift/output/json_output.py,294,1,Document 'findings_to_sarif'
57,explainability_deficit,explainability_deficit,low,0.036,0.0355,Unexplained complexity: _ts_extract_functions_from_source,src/drift/signals/exception_contract_drift.py,165,1,Document '_ts_extract_functions_from_source'
58,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: _metric_status,scripts/package_kpis.py,152,1,Document '_metric_status'
59,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: check,src/drift/commands/check.py,120,1,Document 'check'
60,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: PythonFileParser.visit_ClassDef,src/drift/ingestion/ast_parser.py,465,1,Document 'PythonFileParser.visit_ClassDef'
61,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: _extract_classes,src/drift/ingestion/ts_parser.py,274,1,Document '_extract_classes'
62,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: _extract_api_patterns,src/drift/ingestion/ts_parser.py,472,1,Document '_extract_api_patterns'
63,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: render_trend_chart,src/drift/output/rich_output.py,612,1,Document 'render_trend_chart'
64,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: ArchitectureViolationSignal._check_inferred_layers,src/drift/signals/architecture_violation.py,384,1,Document 'ArchitectureViolationSignal._check_inferred_layers'
65,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: _git_show_files_batch,src/drift/signals/exception_contract_drift.py,262,1,Document '_git_show_files_batch'
66,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: ExceptionContractDriftSignal.analyze,src/drift/signals/exception_contract_drift.py,362,1,Document 'ExceptionContractDriftSignal.analyze'
67,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: GuardClauseDeficitSignal.analyze,src/drift/signals/guard_clause_deficit.py,239,1,Document 'GuardClauseDeficitSignal.analyze'
68,explainability_deficit,explainability_deficit,low,0.0338,0.0333,Unexplained complexity: _find_drift_onset,src/drift/timeline.py,127,1,Document '_find_drift_onset'
69,explainability_deficit,explainability_deficit,low,0.0315,0.031,Unexplained complexity: main,scripts/benchmark.py,90,1,Document 'main'
70,explainability_deficit,explainability_deficit,low,0.0315,0.031,Unexplained complexity: _success_criteria_for,src/drift/output/agent_tasks.py,258,1,Document '_success_criteria_for'
71,explainability_deficit,explainability_deficit,low,0.0315,0.031,Unexplained complexity: render_summary,src/drift/output/rich_output.py,150,1,Document 'render_summary'
72,explainability_deficit,explainability_deficit,low,0.0315,0.031,Unexplained complexity: _format_finding_detail,src/drift/output/rich_output.py,285,1,Document '_format_finding_detail'
73,explainability_deficit,explainability_deficit,low,0.0315,0.031,Unexplained complexity: _extract_exception_profile,src/drift/signals/exception_contract_drift.py,47,1,Document '_extract_exception_profile'
74,explainability_deficit,explainability_deficit,low,0.0315,0.031,Unexplained complexity: _has_create_path,src/drift/signals/naming_contract_violation.py,98,1,Document '_has_create_path'
75,explainability_deficit,explainability_deficit,low,0.031,0.0305,Unexplained complexity: DriftConfig.load,src/drift/config.py,274,1,Document 'DriftConfig.load'
76,explainability_deficit,explainability_deficit,low,0.0304,0.03,Unexplained complexity: main,scripts/check_repo_hygiene.py,84,1,Document 'main'
77,explainability_deficit,explainability_deficit,low,0.0304,0.03,Unexplained complexity: _extract_repo_activity,scripts/fetch_github_usage.py,79,1,Document '_extract_repo_activity'
78,explainability_deficit,explainability_deficit,low,0.0304,0.03,Unexplained complexity: draw_frame,scripts/generate_demo_gif.py,78,1,Document 'draw_frame'
79,explainability_deficit,explainability_deficit,low,0.0304,0.03,Unexplained complexity: validate,src/drift/commands/config_cmd.py,23,1,Document 'validate'
80,bypass_accumulation,bypass_accumulation,medium,0.03,0.0296,High bypass marker density in diagnose_phases.py,scripts/diagnose_phases.py,1,1,Remove or document each bypass marker in 'diagnose_phases.py': replace Any with concrete types and add explicit ignores only where the root cause is resolved.
81,bypass_accumulation,bypass_accumulation,medium,0.03,0.0296,High bypass marker density in cli.py,src/drift/cli.py,1,1,Remove or document each bypass marker in 'cli.py': replace Any with concrete types and add explicit ignores only where the root cause is resolved.
82,guard_clause_deficit,guard_clause_deficit,high,0.03,0.0296,Guard clause deficit in src/drift/ingestion/,src/drift/ingestion,,1,"Add guard clauses to 4/4 unguarded functions in src/drift/ingestion/ (mean complexity 29.0): isinstance checks, None guards, or assert statements."
83,explainability_deficit,explainability_deficit,low,0.0292,0.0288,Unexplained complexity: _run_fixtures,scripts/holdout_validation.py,67,1,Document '_run_fixtures'
84,explainability_deficit,explainability_deficit,low,0.0292,0.0288,Unexplained complexity: run_loocv,scripts/holdout_validation.py,241,1,Document 'run_loocv'
85,explainability_deficit,explainability_deficit,low,0.0292,0.0288,Unexplained complexity: HardcodedSecretSignal._check_assignment,src/drift/signals/hardcoded_secret.py,172,1,Document 'HardcodedSecretSignal._check_assignment'
86,explainability_deficit,explainability_deficit,low,0.0292,0.0288,Unexplained complexity: MutantDuplicateSignal._find_semantic_duplicates,src/drift/signals/mutant_duplicates.py,417,1,Document 'MutantDuplicateSignal._find_semantic_duplicates'
87,explainability_deficit,explainability_deficit,low,0.0292,0.0288,Unexplained complexity: _find_novel_imports,src/drift/signals/system_misalignment.py,127,1,Document '_find_novel_imports'
88,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _format_scan_response,src/drift/api.py,188,1,Document '_format_scan_response'
89,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: safe_main,src/drift/cli.py,121,1,Document 'safe_main'
90,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _extract_imports,src/drift/ingestion/ts_parser.py,329,1,Document '_extract_imports'
91,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _compute_dependencies,src/drift/output/agent_tasks.py,395,1,Document '_compute_dependencies'
92,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _read_code_snippet,src/drift/output/rich_output.py,69,1,Document '_read_code_snippet'
93,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: render_timeline,src/drift/output/rich_output.py,494,1,Document 'render_timeline'
94,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _load_allowed_package_import_pairs,src/drift/rules/tsjs/cross_package_import_ban.py,17,1,Document '_load_allowed_package_import_pairs'
95,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: ArchitectureViolationSignal._check_instability,src/drift/signals/architecture_violation.py,572,1,Document 'ArchitectureViolationSignal._check_instability'
96,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _walk_tokens,src/drift/signals/doc_impl_drift.py,218,1,Document '_walk_tokens'
97,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: DocImplDriftSignal._scan_adr_files,src/drift/signals/doc_impl_drift.py,396,1,Document 'DocImplDriftSignal._scan_adr_files'
98,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: DocImplDriftSignal._discover_adr_dirs,src/drift/signals/doc_impl_drift.py,456,1,Document 'DocImplDriftSignal._discover_adr_dirs'
99,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _ts_extract_exception_profile,src/drift/signals/exception_contract_drift.py,119,1,Document '_ts_extract_exception_profile'
100,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: _has_guard,src/drift/signals/guard_clause_deficit.py,55,1,Document '_has_guard'
101,explainability_deficit,explainability_deficit,low,0.027,0.0266,Unexplained complexity: PatternFragmentationSignal.analyze,src/drift/signals/pattern_fragmentation.py,89,1,Document 'PatternFragmentationSignal.analyze'
102,naming_contract_violation,naming_contract_violation,medium,0.024,0.0236,Naming contract violation: validate_release_discipline(),scripts/check_release_discipline.py,121,1,Either add the missing behaviour to 'validate_release_discipline()' (e.g. a raise statement or appropriate return) or rename it to reflect its actual purpose.
103,naming_contract_violation,naming_contract_violation,medium,0.024,0.0236,Naming contract violation: check_pyproject_semver(),scripts/check_version.py,64,1,Either add the missing behaviour to 'check_pyproject_semver()' (e.g. a raise statement or appropriate return) or rename it to reflect its actual purpose.
104,guard_clause_deficit,guard_clause_deficit,high,0.023,0.0227,Guard clause deficit in src/drift/rules/tsjs/,src/drift/rules/tsjs,,1,"Add guard clauses to 3/3 unguarded functions in src/drift/rules/tsjs/ (mean complexity 15.3): isinstance checks, None guards, or assert statements."
105,guard_clause_deficit,deep_nesting,high,0.0225,0.0222,Deep nesting in analyze(),src/drift/commands/analyze.py,140,1,"Reduce nesting in 'analyze' (depth 7, threshold 4): use early returns, extract nested blocks into helpers, or invert conditions."
106,guard_clause_deficit,deep_nesting,high,0.0225,0.0222,Deep nesting in check(),src/drift/commands/check.py,120,1,"Reduce nesting in 'check' (depth 7, threshold 4): use early returns, extract nested blocks into helpers, or invert conditions."
107,guard_clause_deficit,deep_nesting,high,0.018,0.0177,Deep nesting in parse_git_history(),src/drift/ingestion/git_history.py,222,1,"Reduce nesting in 'parse_git_history' (depth 6, threshold 4): use early returns, extract nested blocks into helpers, or invert conditions."
108,architecture_violation,architecture_violation,medium,0.016,0.0158,God module candidate: ground_truth.py,tests/fixtures/ground_truth.py,,2,Split ground_truth.py by responsibility and extract stable interfaces to reduce fan-in and fan-out.
109,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: async/,docs/adr/002-ast-fingerprinting-for-patterns.md,,1,Update 002-ast-fingerprinting-for-patterns.md: remove or correct the stale 'async/' reference.
110,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: match/,docs/adr/002-ast-fingerprinting-for-patterns.md,,1,Update 002-ast-fingerprinting-for-patterns.md: remove or correct the stale 'match/' reference.
111,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: same/,docs/adr/002-ast-fingerprinting-for-patterns.md,,1,Update 002-ast-fingerprinting-for-patterns.md: remove or correct the stale 'same/' reference.
112,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: try/,docs/adr/002-ast-fingerprinting-for-patterns.md,,1,Update 002-ast-fingerprinting-for-patterns.md: remove or correct the stale 'try/' reference.
113,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: drift/,docs/adr/003-composite-scoring-model.md,,1,Update 003-composite-scoring-model.md: remove or correct the stale 'drift/' reference.
114,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: parent/,docs/adr/004-subprocess-git-parsing.md,,1,Update 004-subprocess-git-parsing.md: remove or correct the stale 'parent/' reference.
115,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: drift-cache/,docs/adr/005-delta-first-score-interpretation.md,,1,Update 005-delta-first-score-interpretation.md: remove or correct the stale 'drift-cache/' reference.
116,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: handler/,docs/adr/007-consistency-proxy-signals.md,,1,Update 007-consistency-proxy-signals.md: remove or correct the stale 'handler/' reference.
117,doc_impl_drift,doc_impl_drift,medium,0.016,0.0158,ADR references missing directory: promotable/,docs/adr/007-consistency-proxy-signals.md,,1,Update 007-consistency-proxy-signals.md: remove or correct the stale 'promotable/' reference.
118,cohesion_deficit,cohesion_deficit,high,0.0134,0.0078,Cohesion deficit in scripts/generate_demo_gif.py,scripts/generate_demo_gif.py,,1,Split low-cohesion module (6/8 isolated units)
119,cohesion_deficit,cohesion_deficit,high,0.0134,0.0078,Cohesion deficit in scripts/release_automation.py,scripts/release_automation.py,,1,Split low-cohesion module (7/7 isolated units)
120,cohesion_deficit,cohesion_deficit,high,0.0134,0.0078,Cohesion deficit in src/drift/signals/doc_impl_drift.py,src/drift/signals/doc_impl_drift.py,,1,Split low-cohesion module (6/8 isolated units)
