rank,signal,rule_id,severity,impact,score_contribution,title,file,start_line,duplicate_count,next_step
121,cohesion_deficit,cohesion_deficit,high,0.0129,0.0075,Cohesion deficit in src/drift/signals/architecture_violation.py,src/drift/signals/architecture_violation.py,,1,Split low-cohesion module (5/7 isolated units)
122,cohesion_deficit,cohesion_deficit,high,0.0127,0.0074,Cohesion deficit in src/drift/copilot_context.py,src/drift/copilot_context.py,,1,Split low-cohesion module (5/5 isolated units)
123,cohesion_deficit,cohesion_deficit,high,0.0127,0.0074,Cohesion deficit in src/drift/signals/mutant_duplicates.py,src/drift/signals/mutant_duplicates.py,,1,Split low-cohesion module (5/5 isolated units)
124,cohesion_deficit,cohesion_deficit,high,0.0127,0.0074,Cohesion deficit in src/drift/telemetry.py,src/drift/telemetry.py,,1,Split low-cohesion module (7/10 isolated units)
125,cohesion_deficit,cohesion_deficit,high,0.0126,0.0073,Cohesion deficit in src/drift/signals/pattern_fragmentation.py,src/drift/signals/pattern_fragmentation.py,,1,Split low-cohesion module (4/6 isolated units)
126,cohesion_deficit,cohesion_deficit,high,0.0124,0.0072,Cohesion deficit in src/drift/signals/circular_import.py,src/drift/signals/circular_import.py,,1,Split low-cohesion module (5/5 isolated units)
127,cohesion_deficit,cohesion_deficit,high,0.0123,0.0071,Cohesion deficit in scripts/copilot_context_benchmark.py,scripts/copilot_context_benchmark.py,,1,Split low-cohesion module (4/6 isolated units)
128,cohesion_deficit,cohesion_deficit,high,0.0123,0.0071,Cohesion deficit in scripts/mutation_benchmark.py,scripts/mutation_benchmark.py,,1,Split low-cohesion module (4/6 isolated units)
129,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: PFS/,README.md,,1,Remove 'PFS/' from README.md or create the directory.
130,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: code-security/,README.md,,1,Remove 'code-security/' from README.md or create the directory.
131,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: connectors/,README.md,,1,Remove 'connectors/' from README.md or create the directory.
132,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: drift/,README.md,,1,Remove 'drift/' from README.md or create the directory.
133,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: drift-analyzer/,README.md,,1,Remove 'drift-analyzer/' from README.md or create the directory.
134,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: product/,README.md,,1,Remove 'product/' from README.md or create the directory.
135,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: project/,README.md,,1,Remove 'project/' from README.md or create the directory.
136,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: sauremilk/,README.md,,1,Remove 'sauremilk/' from README.md or create the directory.
137,doc_impl_drift,doc_impl_drift,low,0.012,0.0118,README references missing directory: vscode/,README.md,,1,Remove 'vscode/' from README.md or create the directory.
138,cohesion_deficit,cohesion_deficit,high,0.0119,0.0069,Cohesion deficit in src/drift/signals/cohesion_deficit.py,src/drift/signals/cohesion_deficit.py,,1,Split low-cohesion module (5/8 isolated units)
139,cohesion_deficit,cohesion_deficit,high,0.0116,0.0068,Cohesion deficit in src/drift/ingestion/ts_parser.py,src/drift/ingestion/ts_parser.py,,1,Split low-cohesion module (8/13 isolated units)
140,cohesion_deficit,cohesion_deficit,high,0.0113,0.0066,Cohesion deficit in src/drift/ingestion/git_history.py,src/drift/ingestion/git_history.py,,1,Split low-cohesion module (5/9 isolated units)
141,cohesion_deficit,cohesion_deficit,high,0.0112,0.0065,Cohesion deficit in src/drift/api.py,src/drift/api.py,,1,Split low-cohesion module (8/14 isolated units)
142,cohesion_deficit,cohesion_deficit,high,0.0111,0.0065,Cohesion deficit in scripts/holdout_validation.py,scripts/holdout_validation.py,,1,Split low-cohesion module (4/7 isolated units)
143,cohesion_deficit,cohesion_deficit,high,0.0108,0.0063,Cohesion deficit in scripts/repair_benchmark.py,scripts/repair_benchmark.py,,1,Split low-cohesion module (10/19 isolated units)
144,cohesion_deficit,cohesion_deficit,high,0.0106,0.0062,Cohesion deficit in src/drift/config.py,src/drift/config.py,,1,Split low-cohesion module (5/10 isolated units)
145,cohesion_deficit,cohesion_deficit,medium,0.0098,0.0057,Cohesion deficit in src/drift/signals/co_change_coupling.py,src/drift/signals/co_change_coupling.py,,1,Split low-cohesion module (4/8 isolated units)
146,cohesion_deficit,cohesion_deficit,medium,0.0092,0.0053,Cohesion deficit in src/drift/analyzers/typescript/import_graph.py,src/drift/analyzers/typescript/import_graph.py,,1,Split low-cohesion module (3/8 isolated units)
147,cohesion_deficit,cohesion_deficit,medium,0.009,0.0053,Cohesion deficit in scripts/fetch_pypistats.py,scripts/fetch_pypistats.py,,1,Split low-cohesion module (3/5 isolated units)
148,cohesion_deficit,cohesion_deficit,medium,0.009,0.0052,Cohesion deficit in src/drift/signals/bypass_accumulation.py,src/drift/signals/bypass_accumulation.py,,1,Split low-cohesion module (3/5 isolated units)
149,cohesion_deficit,cohesion_deficit,medium,0.0089,0.0052,Cohesion deficit in scripts/fetch_github_usage.py,scripts/fetch_github_usage.py,,1,Split low-cohesion module (4/10 isolated units)
150,cohesion_deficit,cohesion_deficit,medium,0.0087,0.005,Cohesion deficit in src/drift/models.py,src/drift/models.py,,1,Split low-cohesion module (7/17 isolated units)
151,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in scripts/generate_annotation_sheet.py,scripts/generate_annotation_sheet.py,,1,Split low-cohesion module (4/4 isolated units)
152,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in scripts/sensitivity_analysis.py,scripts/sensitivity_analysis.py,,1,Split low-cohesion module (4/4 isolated units)
153,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in scripts/unknown_repo_audit.py,scripts/unknown_repo_audit.py,,1,Split low-cohesion module (4/4 isolated units)
154,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in src/drift/commands/init_cmd.py,src/drift/commands/init_cmd.py,,1,Split low-cohesion module (4/4 isolated units)
155,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in src/drift/rules/tsjs/circular_module_detection.py,src/drift/rules/tsjs/circular_module_detection.py,,1,Split low-cohesion module (4/4 isolated units)
156,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in src/drift/signals/_utils.py,src/drift/signals/_utils.py,,1,Split low-cohesion module (4/4 isolated units)
157,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in src/drift/signals/dead_code_accumulation.py,src/drift/signals/dead_code_accumulation.py,,1,Split low-cohesion module (4/4 isolated units)
158,cohesion_deficit,cohesion_deficit,medium,0.0085,0.0049,Cohesion deficit in src/drift/signals/missing_authorization.py,src/drift/signals/missing_authorization.py,,1,Split low-cohesion module (4/4 isolated units)
159,cohesion_deficit,cohesion_deficit,medium,0.0084,0.0049,Cohesion deficit in src/drift/analyzers/typescript/workspace_boundaries.py,src/drift/analyzers/typescript/workspace_boundaries.py,,1,Split low-cohesion module (2/6 isolated units)
160,cohesion_deficit,cohesion_deficit,medium,0.0083,0.0049,Cohesion deficit in src/drift/signals/hardcoded_secret.py,src/drift/signals/hardcoded_secret.py,,1,Split low-cohesion module (4/4 isolated units)
161,cohesion_deficit,cohesion_deficit,medium,0.0081,0.0047,Cohesion deficit in scripts/temporal_drift.py,scripts/temporal_drift.py,,1,Split low-cohesion module (4/12 isolated units)
162,cohesion_deficit,cohesion_deficit,medium,0.0081,0.0047,Cohesion deficit in src/drift/ingestion/ast_parser.py,src/drift/ingestion/ast_parser.py,,1,Split low-cohesion module (4/12 isolated units)
163,cohesion_deficit,cohesion_deficit,medium,0.0079,0.0046,Cohesion deficit in src/drift/embeddings.py,src/drift/embeddings.py,,1,Split low-cohesion module (2/6 isolated units)
164,cohesion_deficit,cohesion_deficit,medium,0.0078,0.0045,Cohesion deficit in scripts/check_model_consistency.py,scripts/check_model_consistency.py,,1,Split low-cohesion module (2/8 isolated units)
165,cohesion_deficit,cohesion_deficit,medium,0.0078,0.0045,Cohesion deficit in src/drift/cli.py,src/drift/cli.py,,1,Split low-cohesion module (2/6 isolated units)
166,cohesion_deficit,cohesion_deficit,medium,0.0078,0.0046,Cohesion deficit in src/drift/timeline.py,src/drift/timeline.py,,1,Split low-cohesion module (3/8 isolated units)
167,cohesion_deficit,cohesion_deficit,medium,0.0077,0.0045,Cohesion deficit in scripts/package_kpis.py,scripts/package_kpis.py,,1,Split low-cohesion module (4/14 isolated units)
168,cohesion_deficit,cohesion_deficit,medium,0.0074,0.0043,Cohesion deficit in src/drift/output/rich_output.py,src/drift/output/rich_output.py,,1,Split low-cohesion module (4/14 isolated units)
169,cohesion_deficit,cohesion_deficit,medium,0.0073,0.0042,Cohesion deficit in scripts/check_release_discipline.py,scripts/check_release_discipline.py,,1,Split low-cohesion module (2/9 isolated units)
170,cohesion_deficit,cohesion_deficit,medium,0.0068,0.004,Cohesion deficit in src/drift/output/agent_tasks.py,src/drift/output/agent_tasks.py,,1,Split low-cohesion module (3/11 isolated units)
171,cohesion_deficit,cohesion_deficit,low,0.0065,0.0038,Cohesion deficit in src/drift/commands/explain.py,src/drift/commands/explain.py,,1,Split low-cohesion module (2/5 isolated units)
172,cohesion_deficit,cohesion_deficit,low,0.0063,0.0037,Cohesion deficit in src/drift/analyzers/typescript/barrel_resolver.py,src/drift/analyzers/typescript/barrel_resolver.py,,1,Split low-cohesion module (1/6 isolated units)
173,cohesion_deficit,cohesion_deficit,low,0.0062,0.0036,Cohesion deficit in src/drift/mcp_server.py,src/drift/mcp_server.py,,1,Split low-cohesion module (1/6 isolated units)
174,doc_impl_drift,doc_impl_drift,info,0.006,0.0059,Source directory not mentioned in README: scripts/,scripts,,1,Add a section for 'scripts/' to README.md with a short description of the module.
175,cohesion_deficit,cohesion_deficit,low,0.0059,0.0034,Cohesion deficit in src/drift/analyzers/typescript/alias_resolver.py,src/drift/analyzers/typescript/alias_resolver.py,,1,Split low-cohesion module (1/9 isolated units)
176,cohesion_deficit,cohesion_deficit,low,0.0059,0.0035,Cohesion deficit in src/drift/cache.py,src/drift/cache.py,,1,Split low-cohesion module (2/12 isolated units)
177,architecture_violation,architecture_violation,medium,0.0048,0.0047,High blast radius: ground_truth.py (8 transitive dependents),tests/fixtures/ground_truth.py,,2,"Reduce transitive coupling of ground_truth.py via interface extraction or by splitting into smaller, better-encapsulated modules."
178,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in run_benchmark(),scripts/copilot_context_benchmark.py,212,1,"Reduce cognitive complexity of 'run_benchmark' (currently 49, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
179,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in main(),scripts/evaluate_benchmark.py,59,1,"Reduce cognitive complexity of 'main' (currently 20, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
180,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in evaluate(),scripts/generate_annotation_sheet.py,135,1,"Reduce cognitive complexity of 'evaluate' (currently 17, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
181,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in draw_frame(),scripts/generate_demo_gif.py,78,1,"Reduce cognitive complexity of 'draw_frame' (currently 17, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
182,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in classify_finding(),scripts/ground_truth_analysis.py,24,1,"Reduce cognitive complexity of 'classify_finding' (currently 261, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
183,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in main(),scripts/ground_truth_analysis.py,215,1,"Reduce cognitive complexity of 'main' (currently 29, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
184,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in main(),scripts/mutation_benchmark.py,1217,1,"Reduce cognitive complexity of 'main' (currently 18, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
185,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in compute_monthly_kpis(),scripts/package_kpis.py,204,1,"Reduce cognitive complexity of 'compute_monthly_kpis' (currently 27, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
186,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in run_benchmark(),scripts/repair_benchmark.py,436,1,"Reduce cognitive complexity of 'run_benchmark' (currently 108, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
187,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in main(),scripts/sensitivity_analysis.py,172,1,"Reduce cognitive complexity of 'main' (currently 76, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
188,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in resolve_tsconfig_alias_import(),src/drift/analyzers/typescript/alias_resolver.py,173,1,"Reduce cognitive complexity of 'resolve_tsconfig_alias_import' (currently 20, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
189,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in diff(),src/drift/api.py,295,1,"Reduce cognitive complexity of 'diff' (currently 42, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
190,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in fix_plan(),src/drift/api.py,735,1,"Reduce cognitive complexity of 'fix_plan' (currently 32, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
191,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in validate(),src/drift/api.py,909,1,"Reduce cognitive complexity of 'validate' (currently 33, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
192,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in safe_main(),src/drift/cli.py,121,1,"Reduce cognitive complexity of 'safe_main' (currently 17, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
193,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/commands/analyze.py,140,1,"Reduce cognitive complexity of 'analyze' (currently 95, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
194,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in check(),src/drift/commands/check.py,120,1,"Reduce cognitive complexity of 'check' (currently 61, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
195,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in validate(),src/drift/commands/config_cmd.py,23,1,"Reduce cognitive complexity of 'validate' (currently 21, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
196,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in load(),src/drift/config.py,274,1,"Reduce cognitive complexity of 'load' (currently 20, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
197,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in discover_files(),src/drift/ingestion/file_discovery.py,73,1,"Reduce cognitive complexity of 'discover_files' (currently 37, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
198,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in parse_git_history(),src/drift/ingestion/git_history.py,222,1,"Reduce cognitive complexity of 'parse_git_history' (currently 35, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
199,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in build_co_change_pairs(),src/drift/ingestion/git_history.py,409,1,"Reduce cognitive complexity of 'build_co_change_pairs' (currently 16, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
200,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in analysis_to_agent_tasks(),src/drift/output/agent_tasks.py,496,1,"Reduce cognitive complexity of 'analysis_to_agent_tasks' (currently 16, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
201,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in findings_to_sarif(),src/drift/output/csv_output.py,262,1,"Reduce cognitive complexity of 'findings_to_sarif' (currently 28, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
202,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in findings_to_sarif(),src/drift/output/json_output.py,294,1,"Reduce cognitive complexity of 'findings_to_sarif' (currently 28, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
203,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in render_timeline(),src/drift/output/rich_output.py,494,1,"Reduce cognitive complexity of 'render_timeline' (currently 19, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
204,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in render_trend_chart(),src/drift/output/rich_output.py,612,1,"Reduce cognitive complexity of 'render_trend_chart' (currently 21, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
205,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in run_layer_leak_detection(),src/drift/rules/tsjs/layer_leak_detection.py,46,1,"Reduce cognitive complexity of 'run_layer_leak_detection' (currently 20, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
206,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in auto_calibrate_weights(),src/drift/scoring/engine.py,281,1,"Reduce cognitive complexity of 'auto_calibrate_weights' (currently 18, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
207,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in calibrate_weights(),src/drift/scoring/engine.py,360,1,"Reduce cognitive complexity of 'calibrate_weights' (currently 28, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
208,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/architecture_violation.py,242,1,"Reduce cognitive complexity of 'analyze' (currently 16, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
209,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/broad_exception_monoculture.py,93,1,"Reduce cognitive complexity of 'analyze' (currently 36, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
210,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/co_change_coupling.py,160,1,"Reduce cognitive complexity of 'analyze' (currently 29, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
211,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/cognitive_complexity.py,132,1,"Reduce cognitive complexity of 'analyze' (currently 28, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
212,cognitive_complexity,cognitive_complexity,medium,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/cohesion_deficit.py,177,1,"Reduce cognitive complexity of 'analyze' (currently 20, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
213,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/exception_contract_drift.py,362,1,"Reduce cognitive complexity of 'analyze' (currently 49, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
214,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/explainability_deficit.py,60,1,"Reduce cognitive complexity of 'analyze' (currently 83, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
215,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/guard_clause_deficit.py,239,1,"Reduce cognitive complexity of 'analyze' (currently 51, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
216,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/missing_authorization.py,92,1,"Reduce cognitive complexity of 'analyze' (currently 32, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
217,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/mutant_duplicates.py,154,1,"Reduce cognitive complexity of 'analyze' (currently 98, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
218,cognitive_complexity,cognitive_complexity,high,0.0,0.0,High cognitive complexity in analyze(),src/drift/signals/naming_contract_violation.py,299,1,"Reduce cognitive complexity of 'analyze' (currently 33, threshold 15): extract nested logic into helper functions, replace nested conditionals with guard clauses, simplify boolean expressions."
